a-2,a-1,a0,a1,a2
w1,7.847786E+05,-4.537495E+04,9.749806E+02,-9.4693320E+00,3.453233E-02
w2,-5.807046E+05,3.252370E+04,-6.805906E+02,6.0681210E+00,-1.968821E-02
w3,2.607653E+06,-1.631119E+05,3.810985E+03,-3.9668980E+01,1.545815E-01
w4,2.465787E+06,-1.402192E+05,2.950590E+03,-2.7441050E+01,9.500517E-02
w5,-4.433000E+06,2.629038E+05,-5.869356E+03,5.8197520E+01,-2.162728E-01
f12,3.471085E+07,-2.205965E+06,5.244015E+04,-5.5271110E+02,2.179239E+00
f13,-4.387806E+06,2.824818E+05,-6.802257E+03,7.2586520E+01,-2.896790E-01
f14,-1.373483E+07,8.610013E+05,-2.019425E+04,2.0999780E+02,-8.174428E-01
f15,-9.427162E+06,5.887002E+05,-1.374327E+04,1.4211820E+02,-5.496933E-01
f23,-3.369139E+07,2.133674E+06,-5.059371E+04,5.3219440E+02,-2.095371E+00
f24,-3.347302E+07,2.117387E+06,-5.012168E+04,5.2618410E+02,-2.067094E+00
f25,7.546774E+05,-4.032991E+04,8.067279E+02,-7.2035330E+00,2.396519E-02
f34,5.718500E+06,-3.626390E+05,8.610839E+03,-9.0768110E+01,3.580585E-01
f35,-2.366888E+06,1.494353E+05,-3.533083E+03,3.7055880E+01,-1.454802E-01
f45,5.045584E+05,-3.508807E+04,8.711578E+02,-9.311619E+00,3.635275E-02
