a-2,a-1,a0,a1,a2
7.847786E+05,-4.537495E+04,9.749806E+02,-9.469332E+00,3.453233E-02
-5.807046E+05,3.252370E+04,-6.805906E+02,6.068121E+00,-1.968821E-02
2.607653E+06,-1.631119E+05,3.810985E+03,-3.966898E+01,1.545815E-01
2.465787E+06,-1.402192E+05,2.950590E+03,-2.744105E+01,9.500517E-02
-4.433000E+06,2.629038E+05,-5.869356E+03,5.819752E+01,-2.162728E-01
0.000000E+00,2.606304E+03,-6.671037E+01,4.025072E-01,0.000000E+00
0.000000E+00,-1.977243E+02,3.341299E+00,-1.658604E-02,0.000000E+00
0.000000E+00,-2.561662E+03,6.532653E+01,-4.516253E-01,0.000000E+00
0.000000E+00,-6.206360E+03,1.658223E+02,-1.136528E+00,0.000000E+00
0.000000E+00,-9.920023E+02,2.601218E+01,-1.999269E-01,0.000000E+00
0.000000E+00,5.089776E+02,-1.442227E+01,9.665001E-02,0.000000E+00
7.546774E+05,-4.032991E+04,8.067279E+02,-7.203533E+00,2.396519E-02
4.294706E+07,-2.169124E+06,4.097445E+04,-3.431319E+02,1.074614E+00
0.000000E+00,-2.607781E+03,7.124789E+01,-4.895286E-01,0.000000E+00
5.045584E+05,-3.508807E+04,8.711578E+02,-9.311619E+00,3.635275E-02




