a-2,a-1,a0,a1,a2
7.239511E+05,-3.712240E+04,6.994247E+02,-5.960600E+00,1.911500E-02
-1.003889E+06,5.321767E+04,-1.061280E+03,9.218228E+00,-2.971000E-02
2.960709E+06,-1.529250E+05,2.937007E+03,-2.507970E+01,8.016800E-02
-1.196937E+07,5.918471E+05,-1.096893E+04,9.016712E+01,-2.774830E-01
1.976834E+06,-9.994309E+04,1.877144E+03,-1.566480E+01,4.888082E-02
0.000000E+00,-8.027848E+02,2.005022E+01,-1.507347E-01,0.000000E+00
1.119249E+07,-6.145176E+05,1.262742E+04,-1.151042E+02,3.926608E-01
0.000000E+00,1.434194E+02,-6.460935E+00,2.796319E-02,0.000000E+00
0.000000E+00,1.182275E+02,-5.270590E+00,2.108852E-02,0.000000E+00
-1.471647E+07,7.959634E+05,-1.612698E+04,1.450099E+02,-4.884632E-01
-2.948921E+06,1.531386E+05,-2.973604E+03,2.558266E+01,-8.231989E-02
0.000000E+00,9.512033E+02,-2.602704E+01,1.487881E-01,0.000000E+00
0.000000E+00,-4.395604E+03,1.101168E+02,-7.185405E-01,0.000000E+00
1.619421E+07,-8.810426E+05,1.794348E+04,-1.621423E+02,5.484809E-01
5.011020E+07,-2.459504E+06,4.519053E+04,-3.685127E+02,1.125241E+00
